subjectID ActivityDesc FeatureDesc FeatureValue
1 1 LAYING fBodyAcc-mean()-X -0.9390990524
2 2 LAYING fBodyAcc-mean()-X -0.976725059791667
3 3 LAYING fBodyAcc-mean()-X -0.980665609032258
4 4 LAYING fBodyAcc-mean()-X -0.958802077592593
5 5 LAYING fBodyAcc-mean()-X -0.968741678461538
6 6 LAYING fBodyAcc-mean()-X -0.939114254210526
7 7 LAYING fBodyAcc-mean()-X -0.953424245576923
8 8 LAYING fBodyAcc-mean()-X -0.953538563888889
9 9 LAYING fBodyAcc-mean()-X -0.946865494
10 10 LAYING fBodyAcc-mean()-X -0.96918420862069
11 11 LAYING fBodyAcc-mean()-X -0.983801365614035
12 12 LAYING fBodyAcc-mean()-X -0.956248487666667
13 13 LAYING fBodyAcc-mean()-X -0.974716920483871
14 14 LAYING fBodyAcc-mean()-X -0.933936178235294
15 15 LAYING fBodyAcc-mean()-X -0.974016176527778
16 16 LAYING fBodyAcc-mean()-X -0.980213187428571
17 17 LAYING fBodyAcc-mean()-X -0.974359280140845
18 18 LAYING fBodyAcc-mean()-X -0.985179972153846
19 19 LAYING fBodyAcc-mean()-X -0.97453373
20 20 LAYING fBodyAcc-mean()-X -0.965728781617647
21 21 LAYING fBodyAcc-mean()-X -0.968234375555556
22 22 LAYING fBodyAcc-mean()-X -0.953758542777778
23 23 LAYING fBodyAcc-mean()-X -0.970037238333333
24 24 LAYING fBodyAcc-mean()-X -0.975893687083333
25 25 LAYING fBodyAcc-mean()-X -0.929147371232877
26 26 LAYING fBodyAcc-mean()-X -0.973262289210526
27 27 LAYING fBodyAcc-mean()-X -0.980631846891892
28 28 LAYING fBodyAcc-mean()-X -0.9739308675
29 29 LAYING fBodyAcc-mean()-X -0.986626999275362
30 30 LAYING fBodyAcc-mean()-X -0.974789999285714
31 1 SITTING fBodyAcc-mean()-X -0.979641238723404
32 2 SITTING fBodyAcc-mean()-X -0.985803840652174
33 3 SITTING fBodyAcc-mean()-X -0.970154440961538
34 4 SITTING fBodyAcc-mean()-X -0.9774624984
35 5 SITTING fBodyAcc-mean()-X -0.977450812045455
